date,device,smoothed_temperature,smoothed_pressure,smoothed_waterFraction
1/4/2010 14:00,42001,0.894366731,2.259400546,1.716003344
1/4/2010 15:00,42001,0.881245532,2.047216123,1.716003344
1/4/2010 16:00,42001,0.881245532,2.047216123,1.716003344
1/4/2010 17:00,42001,0.881245532,1.900278325,1.716003344
1/4/2010 18:00,42001,0.876264229,1.900278325,1.716003344
1/4/2010 19:00,42001,0.876264229,1.900278325,1.716003344
1/4/2010 20:00,42001,0.876264229,2.047216123,1.716003344
1/4/2010 21:00,42001,0.812249535,2.246338447,1.716003344
1/4/2010 22:00,42001,0.811011957,2.246338447,1.716003344
1/4/2010 23:00,42001,0.747630929,2.246338447,1.716003344
1/5/2010 0:00,42001,0.674847882,2.326438277,1.72427587
1/5/2010 1:00,42001,0.674847882,2.35658321,1.72427587
1/5/2010 2:00,42001,0.674847882,2.475108707,1.72427587
1/5/2010 3:00,42001,0.51175119,2.491081511,1.72427587
1/5/2010 4:00,42001,0.510328588,2.53350804,1.72427587
1/5/2010 5:00,42001,0.419955748,2.597927231,1.716003344
1/5/2010 6:00,42001,0.419955748,2.597927231,1.716003344
1/5/2010 7:00,42001,0.419955748,2.597927231,1.716003344
1/5/2010 8:00,42001,0.419955748,2.597927231,1.72427587
1/5/2010 9:00,42001,0.455702461,2.53350804,1.716003344
1/5/2010 10:00,42001,0.510328588,2.501917717,1.716003344
1/5/2010 11:00,42001,0.455702461,2.491081511,1.716003344
1/5/2010 12:00,42001,0.51175119,2.475108707,1.755874856
1/5/2010 13:00,42001,0.529766281,2.439942084,1.755874856
1/5/2010 14:00,42001,0.529766281,2.326438277,1.755874856
1/5/2010 15:00,42001,0.529766281,2.326438277,1.755874856
1/5/2010 16:00,42001,0.563839064,2.299511292,1.755874856
1/5/2010 17:00,42001,0.849425596,2.233355482,1.716003344
1/5/2010 18:00,42001,0.849425596,2.233355482,1.716003344
1/5/2010 19:00,42001,0.885343093,2.233355482,1.716003344
1/5/2010 20:00,42001,0.849425596,2.299511292,1.755874856
1/5/2010 21:00,42001,0.885343093,2.299511292,1.716003344
1/5/2010 22:00,42001,0.909181053,2.299511292,1.755874856
1/5/2010 23:00,42001,0.909181053,2.31930595,1.755874856
1/6/2010 0:00,42001,0.909181053,2.31930595,1.755874856
1/6/2010 1:00,42001,0.909181053,2.326438277,1.755874856
1/6/2010 2:00,42001,0.909181053,2.359700501,1.755874856
1/6/2010 3:00,42001,0.893586804,2.369177001,1.755874856
1/6/2010 4:00,42001,0.893586804,2.399711455,1.755874856
1/6/2010 5:00,42001,0.887455947,2.551273858,1.716003344
1/6/2010 6:00,42001,0.809241775,2.551273858,1.716003344
1/6/2010 7:00,42001,0.809241775,2.551273858,1.716003344
1/6/2010 8:00,42001,0.803166472,2.551273858,1.755874856
1/6/2010 9:00,42001,0.803134277,2.399711455,1.716003344
1/6/2010 10:00,42001,0.769306487,2.359700501,1.716003344
1/6/2010 11:00,42001,0.763644814,2.326438277,1.672097858
1/6/2010 12:00,42001,0.763644814,2.279637913,1.672097858
1/6/2010 13:00,42001,0.626125309,2.326438277,1.716003344
1/6/2010 14:00,42001,0.616803623,2.326438277,1.716003344
1/6/2010 15:00,42001,0.419955748,2.326438277,1.716003344
1/6/2010 16:00,42001,0.419955748,2.326438277,1.716003344
1/6/2010 17:00,42001,0.419955748,2.326438277,1.672097858
1/6/2010 18:00,42001,0.419955748,2.326438277,1.716003344
1/6/2010 19:00,42001,0.419955748,2.279637913,1.716003344
1/6/2010 20:00,42001,0.419955748,2.279637913,1.716003344
1/6/2010 21:00,42001,0.601152428,2.184078169,1.698970004
1/6/2010 22:00,42001,0.616803623,2.326438277,1.716003344
1/6/2010 23:00,42001,0.626125309,2.427970889,1.716003344
1/7/2010 0:00,42001,0.648574462,2.433310604,1.716003344
1/7/2010 1:00,42001,0.688567497,2.433310604,1.716003344
1/7/2010 2:00,42001,0.721908565,2.433310604,1.698970004
1/7/2010 3:00,42001,0.755402285,2.427970889,1.698970004
1/7/2010 4:00,42001,0.807726642,2.427970889,1.698970004
1/7/2010 5:00,42001,0.820802142,2.427970889,1.672097858
1/7/2010 6:00,42001,0.820802142,2.326438277,1.698970004
1/7/2010 7:00,42001,0.820802142,2.427970889,1.698970004
1/7/2010 8:00,42001,0.820802142,2.427970889,1.672097858
1/7/2010 9:00,42001,0.820802142,2.427970889,1.672097858
1/7/2010 10:00,42001,0.755402285,2.466286632,1.662757832
1/7/2010 11:00,42001,0.721908565,2.531710647,1.662757832
1/7/2010 12:00,42001,0.62319065,2.466286632,1.491361694
1/7/2010 13:00,42001,0.62319065,2.466286632,1.662757832
1/7/2010 14:00,42001,0.62319065,2.531710647,1.698970004
1/7/2010 15:00,42001,0.528360511,2.541863849,1.716003344
1/7/2010 16:00,42001,0.528360511,2.629844367,1.716003344
1/7/2010 17:00,42001,0.528360511,2.590308509,1.698970004
1/7/2010 18:00,42001,0.419955748,2.541863849,1.716003344
1/7/2010 19:00,42001,0.528360511,2.590308509,1.716003344
1/7/2010 20:00,42001,0.528360511,2.629844367,1.698970004
1/7/2010 21:00,42001,0.62319065,2.642940267,1.698970004
1/7/2010 22:00,42001,0.63089004,2.642940267,1.698970004
1/7/2010 23:00,42001,0.632093167,2.642940267,1.716003344
1/8/2010 0:00,42001,0.632093167,2.629844367,1.716003344
1/8/2010 1:00,42001,0.654156144,2.629844367,1.72427587
1/8/2010 2:00,42001,0.654156144,2.590308509,1.72427587
1/8/2010 3:00,42001,0.663742957,2.326438277,1.72427587
1/8/2010 4:00,42001,0.730038387,2.313279328,1.72427587
1/8/2010 5:00,42001,0.730038387,2.247736146,1.716003344
1/8/2010 6:00,42001,0.663742957,2.247736146,1.716003344
1/8/2010 7:00,42001,0.663742957,2.247736146,1.72427587
1/8/2010 8:00,42001,0.663742957,2.247736146,1.716003344
1/8/2010 9:00,42001,0.703787342,2.247736146,1.716003344
1/8/2010 10:00,42001,0.778550587,2.247736146,1.716003344
1/8/2010 11:00,42001,0.788492541,2.313279328,1.716003344
1/8/2010 12:00,42001,0.788492541,2.316225748,1.716003344
1/8/2010 13:00,42001,0.788492541,2.326438277,1.716003344
1/8/2010 14:00,42001,0.703787342,2.339068698,1.716003344
1/8/2010 15:00,42001,0.618399248,2.370213958,1.716003344
1/8/2010 16:00,42001,0.618399248,2.533500261,1.716003344
1/8/2010 17:00,42001,0.618399248,2.533500261,1.662757832
1/8/2010 18:00,42001,0.461871024,2.533500261,1.716003344
1/8/2010 19:00,42001,0.618399248,2.533500261,1.69019608
1/8/2010 20:00,42001,0.618399248,2.533500261,1.69019608
1/8/2010 21:00,42001,0.496521641,2.533500261,1.69019608
1/8/2010 22:00,42001,0.496521641,2.442355617,1.69019608
1/8/2010 23:00,42001,0.496521641,2.442355617,1.716003344
1/9/2010 0:00,42001,0.461871024,2.442355617,1.69019608
1/9/2010 1:00,42001,0.496521641,2.410210559,1.716003344
1/9/2010 2:00,42001,0.496971505,2.379785045,1.73239376
1/9/2010 3:00,42001,0.576831968,2.379785045,1.73239376
1/9/2010 4:00,42001,0.576831968,2.379785045,1.73239376
1/9/2010 5:00,42001,0.576831968,2.326438277,1.716003344
1/9/2010 6:00,42001,0.496971505,2.326438277,1.716003344
1/9/2010 7:00,42001,0.576831968,2.169987919,1.716003344
1/9/2010 8:00,42001,0.576831968,2.326438277,1.716003344
1/9/2010 9:00,42001,0.668635187,2.326438277,1.716003344
1/9/2010 10:00,42001,0.684359463,2.326438277,1.716003344
1/9/2010 11:00,42001,0.698334912,2.379785045,1.716003344
1/9/2010 12:00,42001,0.698334912,2.402904726,1.698970004
1/9/2010 13:00,42001,0.753007299,2.402904726,1.698970004
1/9/2010 14:00,42001,0.753795632,2.441243052,1.698970004
1/9/2010 15:00,42001,0.765648253,2.457442882,1.698970004
1/9/2010 16:00,42001,0.771985162,2.458639333,1.698970004
1/9/2010 17:00,42001,0.798520175,2.523555254,1.662757832
1/9/2010 18:00,42001,0.798520175,2.523555254,1.698970004
1/9/2010 19:00,42001,0.798520175,2.523555254,1.698970004
1/9/2010 20:00,42001,0.798520175,2.523555254,1.662757832
1/9/2010 21:00,42001,0.798520175,2.525444059,1.653212514
1/9/2010 22:00,42001,0.798520175,2.525444059,1.662757832
1/9/2010 23:00,42001,0.765648253,2.614983033,1.662757832
1/10/2010 0:00,42001,0.677556491,2.625004214,1.662757832
1/10/2010 1:00,42001,0.561612681,2.665210584,1.662757832
1/10/2010 2:00,42001,0.561612681,2.665210584,1.681241237
1/10/2010 3:00,42001,0.561612681,2.665210584,1.681241237
1/10/2010 4:00,42001,0.561612681,2.665210584,1.681241237
1/10/2010 5:00,42001,0.561612681,2.665210584,1.662757832
1/10/2010 6:00,42001,0.476057222,2.665210584,1.681241237
1/10/2010 7:00,42001,0.552271479,2.665210584,1.681241237
1/10/2010 8:00,42001,0.552271479,2.665210584,1.681241237
1/10/2010 9:00,42001,0.552271479,2.665210584,1.681241237
1/10/2010 10:00,42001,0.552271479,2.625004214,1.681241237
1/10/2010 11:00,42001,0.471337864,2.549904655,1.69019608
1/10/2010 12:00,42001,0.419955748,2.549904655,1.69019608
1/10/2010 13:00,42001,0.471337864,2.549904655,1.707570176
1/10/2010 14:00,42001,0.471337864,2.549904655,1.716003344
1/10/2010 15:00,42001,0.419955748,2.658626611,1.716003344
1/10/2010 16:00,42001,0.419955748,2.436117001,1.716003344
1/10/2010 17:00,42001,0.419955748,2.401197941,1.707570176
1/10/2010 18:00,42001,0.419955748,2.338929411,1.716003344
1/10/2010 19:00,42001,0.419955748,2.338929411,1.707570176
1/10/2010 20:00,42001,0.419955748,2.401197941,1.707570176
1/10/2010 21:00,42001,0.439039308,2.436117001,1.707570176
1/10/2010 22:00,42001,0.439039308,2.523556594,1.707570176
1/10/2010 23:00,42001,0.471337864,2.554464332,1.707570176
1/11/2010 0:00,42001,0.511040752,2.558942924,1.707570176
1/11/2010 1:00,42001,0.577367208,2.558942924,1.707570176
1/11/2010 2:00,42001,0.577367208,2.558942924,1.707570176
1/11/2010 3:00,42001,0.635824817,2.558942924,1.707570176
1/11/2010 4:00,42001,0.640063474,2.558942924,1.707570176
1/11/2010 5:00,42001,0.694487615,2.602724414,1.681241237
1/11/2010 6:00,42001,0.694487615,2.602724414,1.707570176
1/11/2010 7:00,42001,0.744668518,2.602724414,1.681241237
1/11/2010 8:00,42001,0.744668518,2.602724414,1.681241237
1/11/2010 9:00,42001,0.694487615,2.558942924,1.681241237
1/11/2010 10:00,42001,0.694487615,2.602724414,1.662757832
1/11/2010 11:00,42001,0.694487615,2.610313508,1.662757832
1/11/2010 12:00,42001,0.694487615,2.610313508,1.662757832
1/11/2010 13:00,42001,0.505126157,2.602724414,1.662757832
1/11/2010 14:00,42001,0.505126157,2.542806638,1.681241237
1/11/2010 15:00,42001,0.419955748,2.517404145,1.681241237
1/11/2010 16:00,42001,0.419955748,2.508804299,1.681241237
1/11/2010 17:00,42001,0.408403818,2.462792575,1.662757832
1/11/2010 18:00,42001,0.408403818,2.409960563,1.681241237
1/11/2010 19:00,42001,0.39429372,2.462792575,1.681241237
1/11/2010 20:00,42001,0.39429372,2.462792575,1.662757832
1/11/2010 21:00,42001,0.408403818,2.465515046,1.602059991
1/11/2010 22:00,42001,0.419955748,2.465515046,1.662757832
1/11/2010 23:00,42001,0.422021568,2.465515046,1.681241237
1/12/2010 0:00,42001,0.422021568,2.465515046,1.716003344
1/12/2010 1:00,42001,0.419955748,2.498581436,1.770852012
1/12/2010 2:00,42001,0.422021568,2.498581436,1.799340549
1/12/2010 3:00,42001,0.422021568,2.498581436,1.770852012
1/12/2010 4:00,42001,0.422021568,2.509863485,1.740362689
1/12/2010 5:00,42001,0.419955748,2.509863485,1.716003344
1/12/2010 6:00,42001,0.419955748,2.509863485,1.716003344
1/12/2010 7:00,42001,0.422021568,2.509863485,1.716003344
1/12/2010 8:00,42001,0.422021568,2.509863485,1.716003344
1/12/2010 9:00,42001,0.419955748,2.503464586,1.716003344
1/12/2010 10:00,42001,0.408914187,2.503464586,1.716003344
1/12/2010 11:00,42001,0.34366762,2.491279504,1.716003344
1/12/2010 12:00,42001,0.275264812,2.44405861,1.69019608
1/12/2010 13:00,42001,0.275264812,2.344444777,1.69019608
1/12/2010 14:00,42001,0.275264812,2.326438277,1.681241237
1/12/2010 15:00,42001,0.275264812,2.160433042,1.681241237
1/12/2010 16:00,42001,0.275264812,2.160433042,1.681241237
1/12/2010 17:00,42001,0.275264812,2.045236561,1.662757832
1/12/2010 18:00,42001,0.363316877,2.045236561,1.681241237
1/12/2010 19:00,42001,0.363316877,2.045236561,1.681241237
1/12/2010 20:00,42001,0.363316877,2.045236561,1.662757832
1/12/2010 21:00,42001,0.419955748,2.291232473,1.662757832
1/12/2010 22:00,42001,0.521505606,2.291232473,1.62324929
1/12/2010 23:00,42001,0.521505606,2.291232473,1.62324929
1/13/2010 0:00,42001,0.59864074,2.326438277,1.662757832
1/13/2010 1:00,42001,0.653712086,2.378691464,1.698970004
1/13/2010 2:00,42001,0.660724831,2.383213969,1.698970004
1/13/2010 3:00,42001,0.660724831,2.477495048,1.716003344
1/13/2010 4:00,42001,0.653712086,2.506247024,1.716003344
1/13/2010 5:00,42001,0.653712086,2.617495787,1.698970004
1/13/2010 6:00,42001,0.59864074,2.617495787,1.716003344
1/13/2010 7:00,42001,0.59864074,2.617495787,1.716003344
1/13/2010 8:00,42001,0.464192061,2.617495787,1.716003344
1/13/2010 9:00,42001,0.419955748,2.506247024,1.716003344
